Type,N,B,Threads,MFLOPS,Runtime_s
basic,128,NA,1,1446.31,0.002900
basic,128,NA,4,4194.30,0.001000
basic,128,NA,16,8388.61,0.000500
basic,128,NA,64,13981.01,0.000300
basic,512,NA,1,285.54,0.940100
basic,512,NA,4,1135.03,0.236500
basic,512,NA,16,4364.80,0.061500
basic,512,NA,64,15252.01,0.017600
basic,2048,NA,1,125.90,136.460800
basic,2048,NA,4,500.15,34.349300
basic,2048,NA,16,1947.23,8.822700
basic,2048,NA,64,6843.21,2.510500
blocked,128,4,1,1747.63,0.002400
blocked,128,4,4,4660.34,0.000900
blocked,128,4,16,4194.30,0.001000
blocked,128,4,64,2330.17,0.001800
blocked,128,16,1,3226.39,0.001300
blocked,128,16,4,6990.51,0.000600
blocked,128,16,16,5242.88,0.000800
blocked,128,16,64,2330.17,0.001800
blocked,512,4,1,1602.60,0.167500
blocked,512,4,4,7120.30,0.037700
blocked,512,4,16,23546.97,0.011400
blocked,512,4,64,47093.94,0.005700
blocked,512,16,1,4036.62,0.066500
blocked,512,16,4,16368.02,0.016400
blocked,512,16,16,46281.98,0.005800
blocked,512,16,64,59652.32,0.004500
blocked,2048,4,1,1813.26,9.474600
blocked,2048,4,4,7163.95,2.398100
blocked,2048,4,16,27758.72,0.618900
blocked,2048,4,64,95232.09,0.180400
blocked,2048,16,1,4335.29,3.962800
blocked,2048,16,4,16151.05,1.063700
blocked,2048,16,16,64223.81,0.267500
blocked,2048,16,64,228152.31,0.075300
cblas,128,NA,1,791.38,0.005300
cblas,512,NA,1,41943.04,0.006400
cblas,2048,NA,1,51267.89,0.335100
